trending_id,trend_date_time,trend
483,2021-12-19 03:00:44.733624,#PrevisoesDoKimarises
484,2021-12-19 15:00:14.543771,Magnus
485,2021-12-19 15:00:14.671834,Cascavel
486,2021-12-19 15:00:14.791717,#futsalnosportv
487,2021-12-19 15:00:14.983951,Sorocaba
488,2021-12-19 15:00:15.146339,Cancelo
489,2021-12-19 15:00:15.259133,manu rios
490,2021-12-19 15:00:15.412881,ARMY VOTING SMA
491,2021-12-19 15:00:15.5515,Cristiane
492,2021-12-19 15:00:15.733172,Newcastle
496,2021-12-19 21:00:35.269799,#AFazendaÚltimaChance
497,2021-12-19 21:00:35.406537,#SaveJATP
498,2021-12-19 21:00:35.672158,Alisson
499,2021-12-19 21:00:35.840066,#premierleaguenaespn
500,2021-12-19 21:00:36.040599,Tottenham
501,2021-12-19 21:00:36.246181,Paulista
502,2021-12-19 21:00:36.506316,Hazard
503,2021-12-19 21:00:36.693732,Robertson
504,2021-12-20 03:00:40.355022,Chile
505,2021-12-20 03:00:40.514589,#Fantastico
506,2021-12-20 03:00:40.654698,#LuanTheComeback
507,2021-12-20 03:00:40.90026,América Latina
508,2021-12-20 03:00:41.088034,Alckmin
509,2021-12-20 03:00:41.193547,#ATEEZDESERVESMORE
510,2021-12-20 03:00:41.292616,#FREEATEEZ
511,2021-12-20 03:00:41.386272,#KQPROTECTATEEZ
512,2021-12-20 03:00:41.559754,Glória Groove
513,2021-12-20 03:00:41.733872,Shantal
514,2021-12-20 15:00:45.071428,#EJairOuJaEra
515,2021-12-20 15:00:45.304261,Alckmin
516,2021-12-20 15:00:45.498887,Rafinha
517,2021-12-20 15:00:45.609673,Robert Eggers
518,2021-12-20 15:00:45.943431,Chile
519,2021-12-20 15:00:46.06531,#7FATES_CHAKHO
520,2021-12-20 15:00:46.262188,Bjork
521,2021-12-20 15:00:46.38498,Orejuela
522,2021-12-20 15:00:46.526424,BENTORNATA DAYANE
523,2021-12-20 15:00:46.693919,The Northman
524,2021-12-20 21:00:11.097308,cassie
525,2021-12-20 21:00:11.278364,nate
526,2021-12-20 21:00:11.476156,Rafinha
527,2021-12-20 21:00:11.630314,#EJairOuJaEra
528,2021-12-20 21:00:11.807822,#MakeTASM3
529,2021-12-20 21:00:11.974743,#Euphoria
530,2021-12-20 21:00:12.160888,maddy
532,2021-12-20 21:00:12.567266,Rihanna
533,2021-12-20 21:00:12.743303,200K BIROPJL NA TWITCH
534,2021-12-21 03:00:25.681839,#TheVoiceBrasil
535,2021-12-21 03:00:25.869502,Ravi
536,2021-12-21 03:00:26.030442,Hugo Rafael
537,2021-12-21 03:00:26.165894,VOCÊ É LUZ JULIETTE
